timestamp,user_id,ip_address,country,action,status,resource,risk_score,scenario
2024-01-01 08:42:05,user_006,173.202.51.87,Argentina,access,success,login,0,normal
2024-01-01 08:42:24,user_010,173.18.47.197,Colombia,access,success,api,0,normal
2024-01-01 08:42:47,user_016,176.156.118.57,España,access,success,api,0,normal
2024-01-01 09:01:29,user_010,173.18.47.197,Colombia,access,success,login,0,normal
2024-01-01 09:04:49,user_015,188.78.89.66,Mexico,access,success,file_storage,0,normal
2024-01-01 09:16:45,user_028,199.228.109.48,Mexico,access,success,api,0,normal
2024-01-01 10:16:19,user_011,164.56.166.59,Mexico,access,success,file_storage,0,normal
2024-01-01 11:54:01,user_016,176.156.118.57,España,access,success,api,0,normal
2024-01-01 12:03:37,user_015,188.78.89.66,Mexico,access,success,dashboard,0,normal
2024-01-01 12:18:13,user_001,151.140.125.58,Argentina,access,success,file_storage,0,normal
2024-01-01 12:30:30,user_028,199.228.109.48,Mexico,access,success,api,0,normal
2024-01-01 12:48:26,user_027,159.134.57.185,Argentina,access,success,api,0,normal
2024-01-01 15:53:54,user_017,195.118.110.207,Argentina,access,success,dashboard,0,normal
2024-01-01 16:00:00,user_029,183.159.52.198,Argentina,access,success,api,0,normal
2024-01-01 17:30:00,user_013,196.149.226.196,Brasil,access,success,login,0,normal
2024-01-01 18:09:12,user_025,178.250.128.176,Colombia,access,success,dashboard,0,normal
2024-01-01 18:24:54,user_005,169.16.230.68,Brasil,access,success,api,0,normal
2024-01-01 18:32:24,user_009,168.134.187.117,España,access,success,dashboard,0,normal
2024-01-01 18:41:27,user_008,186.9.145.243,Colombia,access,success,file_storage,0,normal
2024-01-01 18:55:34,user_002,181.224.41.154,Colombia,access,success,file_storage,0,normal
2024-01-02 09:45:40,user_001,151.140.125.58,Argentina,access,success,login,0,normal
2024-01-02 09:49:27,user_001,151.140.125.58,Argentina,access,success,dashboard,0,normal
2024-01-02 10:28:04,user_014,168.225.99.162,Brasil,access,success,file_storage,0,normal
2024-01-02 12:44:13,user_024,188.210.120.8,España,access,success,file_storage,0,normal
2024-01-02 13:00:04,user_013,196.149.226.196,Brasil,access,failed,api,20,normal
2024-01-02 14:00:36,user_030,171.232.199.201,Colombia,access,success,login,0,normal
2024-01-02 14:02:00,user_017,195.118.110.207,Argentina,access,success,login,0,normal
2024-01-02 15:10:22,user_025,178.250.128.176,Colombia,access,success,login,0,normal
2024-01-02 16:02:54,user_008,186.9.145.243,Colombia,access,success,file_storage,0,normal
2024-01-02 16:15:12,user_010,173.18.47.197,Colombia,access,success,login,0,normal
2024-01-02 16:23:12,user_008,186.9.145.243,Colombia,access,success,file_storage,0,normal
2024-01-02 16:47:03,user_007,197.9.52.104,España,access,success,file_storage,0,normal
2024-01-02 17:03:45,user_029,183.159.52.198,Argentina,access,success,api,0,normal
2024-01-02 17:19:21,user_025,178.250.128.176,Colombia,access,success,login,0,normal
2024-01-02 17:38:25,user_007,197.9.52.104,España,access,success,login,0,normal
2024-01-02 17:53:24,user_028,199.228.109.48,Mexico,access,success,login,0,normal
2024-01-02 18:37:50,user_015,188.78.89.66,Mexico,access,success,login,0,normal
2024-01-02 18:46:15,user_006,173.202.51.87,Argentina,access,success,dashboard,0,normal
2024-01-02 19:27:44,user_015,188.78.89.66,Mexico,access,success,api,0,normal
2024-01-02 19:47:50,user_008,186.9.145.243,Colombia,access,success,login,0,normal
2024-01-03 08:43:13,user_008,186.9.145.243,Colombia,access,success,file_storage,0,normal
2024-01-03 09:34:47,user_016,176.156.118.57,España,access,success,api,0,normal
2024-01-03 09:40:54,user_012,166.120.207.62,Brasil,access,success,file_storage,0,normal
2024-01-03 11:16:38,user_006,173.202.51.87,Argentina,access,success,api,0,normal
2024-01-03 11:20:27,user_028,199.228.109.48,Mexico,access,success,dashboard,0,normal
2024-01-03 11:28:23,user_025,178.250.128.176,Colombia,access,success,dashboard,0,normal
2024-01-03 11:40:23,user_025,178.250.128.176,Colombia,access,success,file_storage,0,normal
2024-01-03 13:14:46,user_016,176.156.118.57,España,access,success,api,0,normal
2024-01-03 13:48:18,user_016,176.156.118.57,España,access,success,file_storage,0,normal
2024-01-03 14:53:27,user_016,176.156.118.57,España,access,success,file_storage,0,normal
2024-01-03 15:29:32,user_010,173.18.47.197,Colombia,access,success,file_storage,0,normal
2024-01-03 15:59:43,user_018,159.210.112.169,Argentina,access,success,dashboard,0,normal
2024-01-03 16:29:32,user_016,176.156.118.57,España,access,success,api,0,normal
2024-01-03 17:22:30,user_017,195.118.110.207,Argentina,access,success,login,0,normal
2024-01-03 17:27:55,user_027,159.134.57.185,Argentina,access,success,login,0,normal
2024-01-03 18:00:53,user_010,173.18.47.197,Colombia,access,failed,login,20,normal
2024-01-04 08:54:01,user_024,188.210.120.8,España,access,success,login,0,normal
2024-01-04 09:49:45,user_008,186.9.145.243,Colombia,access,success,dashboard,0,normal
2024-01-04 10:20:08,user_026,177.47.173.99,Mexico,access,success,file_storage,0,normal
2024-01-04 10:33:18,user_011,164.56.166.59,Mexico,access,success,api,0,normal
2024-01-04 10:33:47,user_024,188.210.120.8,España,access,success,login,0,normal
2024-01-04 10:49:55,user_017,195.118.110.207,Argentina,access,success,api,0,normal
2024-01-04 12:15:01,user_029,183.159.52.198,Argentina,access,success,file_storage,0,normal
2024-01-04 12:26:24,user_004,176.213.68.100,Colombia,access,success,login,0,normal
2024-01-04 13:19:45,user_017,195.118.110.207,Argentina,access,success,api,0,normal
2024-01-04 13:48:53,user_006,173.202.51.87,Argentina,access,failed,dashboard,20,normal
2024-01-04 13:52:12,user_014,168.225.99.162,Brasil,access,success,login,0,normal
2024-01-04 13:59:20,user_005,169.16.230.68,Brasil,access,success,dashboard,0,normal
2024-01-04 18:13:29,user_017,195.118.110.207,Argentina,access,success,file_storage,0,normal
2024-01-04 18:59:02,user_016,176.156.118.57,España,access,success,dashboard,0,normal
2024-01-04 19:15:52,user_018,159.210.112.169,Argentina,access,success,login,0,normal
2024-01-04 19:39:37,user_006,173.202.51.87,Argentina,access,success,file_storage,0,normal
2024-01-04 19:46:26,user_011,164.56.166.59,Mexico,access,success,dashboard,0,normal
2024-01-04 19:54:52,user_027,159.134.57.185,Argentina,access,success,dashboard,0,normal
2024-01-05 08:25:07,user_012,166.120.207.62,Brasil,access,success,login,0,normal
2024-01-05 08:34:35,user_004,176.213.68.100,Colombia,access,failed,file_storage,20,normal
2024-01-05 09:47:42,user_012,166.120.207.62,Brasil,access,success,file_storage,0,normal
2024-01-05 10:03:34,user_008,186.9.145.243,Colombia,access,success,login,0,normal
2024-01-05 11:13:04,user_003,158.192.78.42,Colombia,access,success,login,0,normal
2024-01-05 11:36:43,user_010,173.18.47.197,Colombia,access,success,api,0,normal
2024-01-05 12:13:53,user_003,158.192.78.42,Colombia,access,success,dashboard,0,normal
2024-01-05 12:55:56,user_009,168.134.187.117,España,access,success,file_storage,0,normal
2024-01-05 13:21:43,user_003,158.192.78.42,Colombia,access,success,login,0,normal
2024-01-05 13:43:22,user_009,168.134.187.117,España,access,success,api,0,normal
2024-01-05 13:50:04,user_003,158.192.78.42,Colombia,access,success,api,0,normal
2024-01-05 15:05:00,user_010,173.18.47.197,Colombia,access,success,login,0,normal
2024-01-05 15:11:17,user_017,195.118.110.207,Argentina,access,success,login,0,normal
2024-01-05 15:22:19,user_011,164.56.166.59,Mexico,access,success,api,0,normal
2024-01-05 15:42:19,user_011,164.56.166.59,Mexico,access,success,dashboard,0,normal
2024-01-05 16:30:03,user_018,159.210.112.169,Argentina,access,success,file_storage,0,normal
2024-01-05 16:40:01,user_007,197.9.52.104,España,access,success,file_storage,0,normal
2024-01-05 16:42:55,user_016,176.156.118.57,España,access,success,login,0,normal
2024-01-05 17:58:37,user_014,168.225.99.162,Brasil,access,success,file_storage,0,normal
2024-01-05 17:59:26,user_017,195.118.110.207,Argentina,access,success,login,0,normal
2024-01-05 19:12:54,user_012,166.120.207.62,Brasil,access,success,login,0,normal
2024-01-08 04:02:59,user_029,183.159.52.198,Argentina,access,success,billing,40,compromised_account
2024-01-08 08:30:54,user_002,181.224.41.154,Colombia,access,success,file_storage,0,normal
2024-01-08 10:32:10,user_025,178.250.128.176,Colombia,access,success,api,0,normal
2024-01-08 10:39:37,user_026,177.47.173.99,Mexico,access,success,dashboard,0,normal
2024-01-08 10:59:59,user_015,188.78.89.66,Mexico,access,success,api,0,normal
2024-01-08 11:36:29,user_026,177.47.173.99,Mexico,access,success,file_storage,0,normal
2024-01-08 13:24:40,user_010,173.18.47.197,Colombia,access,success,dashboard,0,normal
2024-01-08 15:07:16,user_008,186.9.145.243,Colombia,access,success,login,0,normal
2024-01-08 15:32:07,user_010,173.18.47.197,Colombia,access,success,login,0,normal
2024-01-08 15:57:43,user_010,173.18.47.197,Colombia,access,success,login,0,normal
2024-01-08 19:10:14,user_018,159.210.112.169,Argentina,access,success,login,0,normal
2024-01-08 19:38:31,user_029,183.159.52.198,Argentina,access,success,file_storage,0,normal
2024-01-09 08:05:13,user_001,151.140.125.58,Argentina,access,success,dashboard,0,normal
2024-01-09 09:52:42,user_004,176.213.68.100,Colombia,access,success,login,0,normal
2024-01-09 10:42:12,user_015,188.78.89.66,Mexico,access,success,file_storage,0,normal
2024-01-09 12:26:11,user_026,177.47.173.99,Mexico,access,success,dashboard,0,normal
2024-01-09 12:47:07,user_024,188.210.120.8,España,access,success,file_storage,0,normal
2024-01-09 13:04:32,user_001,151.140.125.58,Argentina,access,success,dashboard,0,normal
2024-01-09 13:25:17,user_001,151.140.125.58,Argentina,access,success,login,0,normal
2024-01-09 13:52:28,user_007,197.9.52.104,España,access,success,login,0,normal
2024-01-09 14:56:58,user_011,164.56.166.59,Mexico,access,success,login,0,normal
2024-01-09 16:36:57,user_006,173.202.51.87,Argentina,access,success,dashboard,0,normal
2024-01-09 17:09:43,user_003,158.192.78.42,Colombia,access,success,file_storage,0,normal
2024-01-09 18:36:53,user_009,168.134.187.117,España,access,success,api,0,normal
